payee,mn_count,power
3U8Kuy1q5vMj1d4oehYEn5SRkJ96Lt9vdx,1,0.036670334
3XMWgzkWVLqKLUn69UFttmmaTKLGEj2f2Z,1,0.036670334
3iozEjN6qT34jcCrrtk36Q3fXXH9FSUehT,1,0.036670334
3R7xiC3xMYSjWRonAsy5ipKbt3DfEDdh4i,1,0.036670334
3fUuxAWx41E187zKz7FYXuVrJ4fzwLHT8c,1,0.036670334
3TB6FpMcE4MziLXbnQT9tFshct6j5kbn73,1,0.036670334
3nuDAhVpPrQvzSRoWncn5FahmQTLN49zhj,1,0.036670334
3ZNSQqPzKXzXDUeMzTJf2PmDxye4jbBsV1,1,0.036670334
3WsJVCrbEX8RKM4YikZ9PoeKPFEoBfrqpf,1,0.036670334
3fFYAkN9QyLJ95GgUSCAaD1wr4P9zWtS3r,1,0.036670334
3XpJi2EXi1tkDpH96zaAqqBgmtUV52A1fL,1,0.036670334
3jETwytanGnAkMadeAUWLQwkNcZ51VqZFf,1,0.036670334
3k74Lq82F976GsKbzV3vnLFMLT8fDTJins,1,0.036670334
3aAL3FBaTqHamVFp1TwVag97TUzeGYpmoY,1,0.036670334
3RFrTcn8McDTZz3oz6pPtWNiBRrDa1rGL4,1,0.036670334
3c3WmFPh97yBBNmaqVkQP22vDn6ySYMSPW,1,0.036670334
3VgmaELNXhZryaQU5Jq766DJzQErYLTbAL,1,0.036670334
3kcj86GzYuzrc429bF6C78GjrBSx71yidH,1,0.036670334
3VMiVLNMgiKNKmYWnEGDnsPsraYf7ykTpb,1,0.036670334
3SPSwBz92t7BAcCCpcQ9vNGP3So5769su5,1,0.036670334
3pHCXxbyMhjyJTk9CU65CWLb9CyFdT96wQ,1,0.036670334
3WDeQ68GakLSXZA9inT7rM9vNzsSnQCmZr,1,0.036670334
3Wu9AP2egh3GQRd6ohijyxfivWEM3PEBpF,1,0.036670334
3bb5AAYKBr2hj489Up89F8QYcLSvvij7Gb,1,0.036670334
3ax7Q4gXqsqupNeXfx7J4QPEY2GP7s7rvB,1,0.036670334
3hmAxTGhGpPNBcDYdhwJHej3NPepKwdgQ7,1,0.036670334
3U9F5aPuixdFB66B6PwLYyprRnNtbVm4fr,1,0.036670334
3myb3bGCw5UgDMhGhc7NpgQEQJ7E2Esoxt,1,0.036670334
3jFpxpPJqDNR4Lq6JbyCJ9WMWy1cwRDK64,1,0.036670334
3igU6piZJAWHoFm7VAmRQbYHWaMMivofEr,1,0.036670334
3c1Bo1qUajLEyk3DWoLRgjc5oPv6h3d38s,1,0.036670334
3X2Gi3BrF6xvqogcSs3ab5tvBk7n8mY6oB,1,0.036670334
3iT4mPZ5wrAZ6NH8NynmS7kTMjjv71369L,1,0.036670334
3etqdbw66mPoRi7QzZ24j2Ta4iFZp6fDZa,1,0.036670334
3ob2DUBdLrhXrMtoqQs2EXzswhrBmALYjZ,1,0.036670334
3ha3STrXWQgjHaMzjcRPUkqrWvnd17wPN9,1,0.036670334
3ivpe13EMvcsHJs2vJt4RBw3pHCVs7TCKi,1,0.036670334
3XtkYqL4Es7f1HCrPugUeeQGERzCTCxwzK,1,0.036670334
3iA2pipDyXc8kW2HSCW3f2Jp4chw6cq3Wt,1,0.036670334
3j82VXeVbnRgQAqT8MEGdhFTRxh83b9oV4,1,0.036670334
3ma42WyP4ycyTE4uVCcFCT4yZrzNajQmNQ,1,0.036670334
3V84kLKKdV9k5oMLLYMBVPtU8B81rrLPPe,1,0.036670334
3inyRQXMZMpmZqCjNfELcbNMGigPFR1gt3,1,0.036670334
3oP5X6dHAst9nfftbg7DG7eLdTdXsuYyWe,1,0.036670334
3Vt6n6ZkvbFTdk9UKKvbx7Wx6Eog1gT81R,1,0.036670334
3SMq4GS3SWQ9mXMBvR43Jdkmsy63jAw7VW,1,0.036670334
3p2UMXW5sMoH8BsA8WqsZBazQsYvaGYFq3,1,0.036670334
3WEvTaft62QsCyUkfPqW9wKWU3ntxHSBZZ,1,0.036670334
3XsEcwydh3pWKHTdaDjEeha5mBnsDFAX5u,1,0.036670334
3S61EcKYEb2Zn5UXh7x3zqBgE6U7ukSiK2,1,0.036670334
3av6JTctWmxehTwsYWwcQMCPdLDV6n3GtY,1,0.036670334
3bcCC4mhucwaW7jnZCAThNppr2PrCctLeH,1,0.036670334
3pDmT1S4ggfaaZ2MSx8v5ayTLchdSihX89,1,0.036670334
3nUVChsd1xLqFW8DVT3zdcvxtLuyFAYeJm,1,0.036670334
